"strain","type","env","dist"
"1","non","6scfm",10.9848207794751
"2","ep","6scfm",123.828144554198
"3","non","6scfm",8.96936933911593
"4","ep","6scfm",14.410213914927
"5","non","6scfm",12.3771269272901
"6","ep","6scfm",12.1860006902808
"7","non","6scfm",13.8342779868291
"8","ep","6scfm",19.8251655168833
"9","ep","6scfm",28.4184913768744
"10","non","6scfm",15.5617760737187
"11","non","6scfm",55.1993050486531
"12","non","6scfm",12.7190012079715
"13","ep","6scfm",109.756969361034
"14","non","6scfm",49.3570666449752
"15","ep","6scfm",13.6801155541338
"16","non","6scfm",16.30388998059
"17","ep","6scfm",89.1634806100265
"18","ep","6scfm",24.929447351202
"19","ep","6scfm",88.9493846162983
"20","ep","6scfm",35.2225675976377
"21","non","6scfm",41.1135195192659
"22","ep","6scfm",107.049444599137
"23","non","6scfm",27.5125859408304
"24","ep","6scfm",45.2235788573696
"1","non","7min",77.3133856100158
"2","ep","7min",480.355679349554
"3","non","7min",13.7028110673534
"4","ep","7min",17.7742452074097
"5","non","7min",13.8754619353393
"6","ep","7min",74.6999630293427
"7","non","7min",92.8711473096875
"8","ep","7min",93.9115343028198
"9","ep","7min",115.179951180345
"10","non","7min",123.252945813932
"11","non","7min",333.540848656502
"12","non","7min",18.9595054970501
"13","ep","7min",410.1606019035
"14","non","7min",296.900826344061
"15","ep","7min",61.5370214541631
"16","non","7min",56.3122553093704
"17","ep","7min",411.271494036339
"18","ep","7min",97.2723755593074
"19","ep","7min",378.317183842159
"20","ep","7min",180.272319677062
"21","non","7min",210.147171798335
"22","ep","7min",300.816831945311
"23","non","7min",208.177639686339
"24","ep","7min",85.0973749754456
"1","non","8scfm_mucin",14.5950173187737
"2","ep","8scfm_mucin",71.2553276397955
"3","non","8scfm_mucin",6.09227380106366
"4","ep","8scfm_mucin",28.4613583562598
"5","non","8scfm_mucin",17.347875185371
"6","ep","8scfm_mucin",27.2085650588856
"7","non","8scfm_mucin",23.5392389608278
"8","ep","8scfm_mucin",20.3904748316686
"9","ep","8scfm_mucin",27.106126398131
"10","non","8scfm_mucin",35.0377356696678
"11","non","8scfm_mucin",67.575854466091
"12","non","8scfm_mucin",8.78491829915351
"13","ep","8scfm_mucin",73.8671009168873
"14","non","8scfm_mucin",38.8904773690957
"15","ep","8scfm_mucin",18.6013746504525
"16","non","8scfm_mucin",21.5581231251947
"17","ep","8scfm_mucin",39.8941158781426
"18","ep","8scfm_mucin",31.6347273973098
"19","ep","8scfm_mucin",72.5268480009361
"20","ep","8scfm_mucin",68.9371522238123
"21","non","8scfm_mucin",35.9257285457807
"22","ep","8scfm_mucin",75.9367158940881
"23","non","8scfm_mucin",33.662226326047
"24","ep","8scfm_mucin",22.741332953278
"1","non","9min_mucin",27.3738957313215
"2","ep","9min_mucin",92.588940049472
"3","non","9min_mucin",10.3461002952728
"4","ep","9min_mucin",34.0108345103279
"5","non","9min_mucin",18.5344356050046
"6","ep","9min_mucin",31.5793011596871
"7","non","9min_mucin",23.6859018755025
"8","ep","9min_mucin",16.7889693838834
"9","ep","9min_mucin",22.9431706963508
"10","non","9min_mucin",24.0633826585126
"11","non","9min_mucin",83.984763018851
"12","non","9min_mucin",22.4847462579928
"13","ep","9min_mucin",123.728104068773
"14","non","9min_mucin",62.2779236666444
"15","ep","9min_mucin",10.7913879288251
"16","non","9min_mucin",13.2560764745048
"17","ep","9min_mucin",83.2382657522583
"18","ep","9min_mucin",40.2881076786892
"19","ep","9min_mucin",106.178004776003
"20","ep","9min_mucin",49.8835483228323
"21","non","9min_mucin",52.0340615378072
"22","ep","9min_mucin",123.001328410563
"23","non","9min_mucin",45.2531985358584
"24","ep","9min_mucin",19.9919238473116
